month,customers,orders,revenue,marketing_spend,conversion_rate,roi
2025-10-01,205298,12141,1101609.76,119821.04,0.05913842317022085,8.19379234231317
2025-11-01,206476,12206,1107545.63,120927.01,0.05911582944264709,8.158794466182533
2025-12-01,228523,13544,1230676.76,133395.96,0.059267557313705845,8.225742368809371
2026-01-01,246094,14361,1294552.32,143185.83,0.05835575024177753,8.041064468460322
2026-02-01,236291,14042,1277026.97,136807.83,0.05942672382782247,8.33445819585034
2026-03-01,268442,15691,1428072.23,156570.57,0.05845210511022865,8.120949294621587
2026-04-01,259745,15321,1392943.29,151488.97,0.058984773527883116,8.195014594131838
2026-05-01,260180,15238,1383764.99,151631.92,0.05856714582212315,8.125815923190842
2026-06-01,238960,13727,1248834.08,138900.4,0.05744476062939404,7.990860213505506
2026-07-01,229819,13613,1224463.32,133386.98,0.05923357076655977,8.179781414947696
2026-08-01,214236,12744,1158115.16,125022.87,0.05948580070576374,8.263226480083203
2026-09-01,198248,11723,1061998.57,116214.5,0.05913300512489407,8.138262178987993
